Trainset ID,Assigned Status,Assigned Line,Detailed Reasoning
KMRL-T03,Revenue Service,Line D (Express),"Eligible for service | Mileage: 102,797km (-18.1%) | Branding SLA: ACTIVE (341/350 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T09,Revenue Service,Line D (Express),"Eligible for service | Mileage: 114,249km (-9.0%) | Branding SLA: ACTIVE (286/350 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T10,Revenue Service,Line D (Express),"Eligible for service | Mileage: 107,822km (-14.1%) | Branding SLA: ACTIVE (399/450 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T11,Revenue Service,Line D (Express),"Eligible for service | Mileage: 138,155km (+10.1%) | Branding SLA: ACTIVE (305/350 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T12,Revenue Service,Line D (Express),"Eligible for service | Mileage: 111,118km (-11.5%) | Branding SLA: ACTIVE (332/400 hrs) | Pending Work: 12h | Assigned to Line D (Express) based on optimal line matching."
KMRL-T19,Revenue Service,Line D (Express),"Eligible for service | Mileage: 139,590km (+11.2%) | Branding SLA: ACTIVE (373/400 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T22,Revenue Service,Line D (Express),"Eligible for service | Mileage: 128,495km (+2.4%) | Branding SLA: ACTIVE (352/450 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T23,Revenue Service,Line D (Express),"Eligible for service | Mileage: 136,057km (+8.4%) | Branding SLA: ACTIVE (263/350 hrs) | Assigned to Line D (Express) based on optimal line matching."
KMRL-T01,Standby,N/A,"Eligible for service | Mileage: 111,744km (-11.0%)"
KMRL-T04,Standby,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 148,166km (+18.0%) | Pending Work: 14h"
KMRL-T05,Standby,N/A,"Eligible for service | Mileage: 131,819km (+5.0%)"
KMRL-T06,Standby,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 121,071km (-3.6%) | Pending Work: 12h"
KMRL-T08,Standby,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 120,339km (-4.1%) | Branding SLA: ACTIVE (329/400 hrs) | Pending Work: 29h"
KMRL-T13,Standby,N/A,"Eligible for service | Mileage: 109,914km (-12.4%)"
KMRL-T14,Standby,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 131,770km (+5.0%) | Branding SLA: ACTIVE (330/350 hrs) | Pending Work: 26h"
KMRL-T15,Standby,N/A,"Eligible for service | Mileage: 128,761km (+2.6%)"
KMRL-T16,Standby,N/A,"Eligible for service | Mileage: 125,488km (-0.0%)"
KMRL-T20,Standby,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 130,892km (+4.3%) | Branding SLA: ACTIVE (300/400 hrs) | Pending Work: 39h"
KMRL-T25,Standby,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 146,078km (+16.4%) | Pending Work: 11h"
KMRL-T02,Maintenance,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 124,891km (-0.5%) | Pending Work: 11h"
KMRL-T07,Maintenance,N/A,"INELIGIBLE (Cert/Job Card issue) | Mileage: 113,848km (-9.3%) | Branding SLA: ACTIVE (267/350 hrs) | Pending Work: 7h"
KMRL-T17,Maintenance,N/A,"Eligible for service | Mileage: 128,156km (+2.1%)"
KMRL-T18,Maintenance,N/A,"Eligible for service | Mileage: 149,612km (+19.2%)"
KMRL-T21,Maintenance,N/A,"Eligible for service | Mileage: 116,793km (-7.0%) | Pending Work: 10h"
KMRL-T24,Maintenance,N/A,"Eligible for service | Mileage: 120,826km (-3.8%)"
